,image,pt0,pt1,template
0,DL372e.png,-12.8761061947,25.3448275862,m.png
1,DL372e.png,-12.8318584071,25.3448275862,m.png
2,DL364e.png,40.1327433628,23.4913793103,m.png
3,DL364e.png,40.1769911504,23.4913793103,m.png
4,DL364e.png,-13.6283185841,23.75,m.png
5,DL364e.png,37.0353982301,25.6465517241,m.png
6,DL364e.png,37.0796460177,25.6465517241,m.png
7,DL364e.png,38.1415929204,27.6724137931,m.png
8,DL368e.png,39.4247787611,23.5775862069,c.png
9,DL368e.png,39.4690265487,23.5775862069,c.png
10,DL368e.png,47.1681415929,25.8620689655,c.png
11,DL368e.png,48.185840708,26.7672413793,c.png
12,DL368e.png,46.3716814159,26.8103448276,c.png
13,DL368e.png,47.1681415929,26.8103448276,c.png
14,DL368e.png,46.3716814159,27.8879310345,c.png
15,DL368e.png,47.2566371681,27.8879310345,c.png
16,DL368e.png,42.4336283186,33.1465517241,c.png
17,DL368e.png,43.3185840708,33.1896551724,c.png
18,DL368e.png,43.3185840708,34.1810344828,c.png
19,DL352e.png,-13.7610619469,23.4913793103,m.png
20,DL352e.png,-12.7876106195,23.4913793103,m.png
21,DL352e.png,54.0707964602,24.8706896552,c.png
22,DL352e.png,37.2123893805,25.0862068966,c.png
23,DL352e.png,43.3185840708,37.1551724138,c.png
24,DL352e.png,42.3451327434,38.2327586207,c.png
25,DL352e.png,52.7433628319,23.4482758621,t.png
26,DL352e.png,52.7876106195,23.4482758621,t.png
27,DL352e.png,52.8318584071,23.4482758621,t.png
28,DL352e.png,52.7433628319,23.4913793103,t.png
29,DL352e.png,52.7876106195,23.4913793103,t.png
30,DL352e.png,52.8318584071,23.4913793103,t.png
31,DL352e.png,52.7433628319,23.5344827586,t.png
32,DL352e.png,52.7876106195,23.5344827586,t.png
33,DL352e.png,52.8318584071,23.5344827586,t.png
34,DL352e.png,52.7876106195,23.5775862069,t.png
35,DL352e.png,55.0884955752,24.9137931034,s.png
36,DL353e.png,-13.7610619469,23.4913793103,m.png
37,DL353e.png,-12.7876106195,23.4913793103,m.png
38,DL353e.png,36.5486725664,24.9568965517,c.png
39,DL353e.png,52.7876106195,16.25,t.png
40,DL353e.png,52.8318584071,16.25,t.png
41,DL353e.png,52.7876106195,16.2931034483,t.png
42,DL353e.png,52.8318584071,16.2931034483,t.png
43,DL353e.png,52.7876106195,16.3362068966,t.png
44,DL353e.png,52.8318584071,16.3362068966,t.png
45,DL369e.png,-11.017699115,13.7931034483,m.png
46,DL365e.png,-13.6725663717,23.4913793103,m.png
47,DL365e.png,-13.6283185841,23.4913793103,m.png
48,DL365e.png,46.1504424779,29.6982758621,m.png
49,DL373e.png,-14.6460176991,23.5775862069,m.png
50,DL373e.png,-13.5398230088,23.5775862069,m.png
51,DL373e.png,-13.5398230088,24.5689655172,m.png
52,DL373e.png,38.0088495575,26.6379310345,a.png
53,DL373e.png,38.0088495575,26.6810344828,a.png
54,DL354e.png,56.9026548673,15.0431034483,m.png
55,DL354e.png,22.0353982301,18.4051724138,a.png
56,DL354e.png,22.0353982301,18.4482758621,a.png
57,DL354e.png,23.0530973451,20.3017241379,a.png
58,DL354e.png,23.0530973451,21.4655172414,a.png
59,DL354e.png,23.0530973451,21.5086206897,a.png
60,DL362e.png,-12.610619469,23.4913793103,m.png
61,DL358e.png,-2.0796460177,15.2155172414,m.png
62,DL359e.png,-10.1327433628,27.1551724138,m.png
63,DL359e.png,-10.0884955752,27.1551724138,m.png
64,DL359e.png,-10.0884955752,28.2327586207,m.png
65,DL359e.png,-14.1150442478,28.3189655172,m.png
66,DL359e.png,-14.0707964602,28.3189655172,m.png
67,DL363e.png,36.9911504425,25.9051724138,c.png
68,DL363e.png,-13.5398230088,23.7068965517,s.png
69,DL355e.png,58.8495575221,17.3275862069,m.png
70,DL355e.png,56.9026548673,14.9137931034,c.png
71,DL355e.png,48.185840708,19.1810344828,c.png
72,DL355e.png,3.14159292035,17.5431034483,s.png
73,DL355e.png,2.21238938053,18.6206896552,s.png
74,DL356e.png,22.2123893805,18.4482758621,a.png
75,DL356e.png,23.185840708,20.474137931,a.png
76,DL356e.png,23.185840708,20.5172413793,a.png
77,DL360e.png,-14.7345132743,24.4396551724,m.png
78,DL360e.png,-14.6902654867,24.4396551724,m.png
79,DL360e.png,-13.6725663717,24.4396551724,m.png
80,DL360e.png,-12.7433628319,24.4396551724,m.png
81,DL361e.png,-14.7345132743,24.4396551724,m.png
82,DL361e.png,-14.6902654867,24.4396551724,m.png
83,DL357e.png,10.796460177,24.4827586207,a.png
84,DL357e.png,9.73451327434,25.5172413793,a.png
85,DL357e.png,9.73451327434,25.5603448276,a.png
86,DL366e.png,-12.7433628319,20.5603448276,m.png
87,DL366e.png,-12.6991150442,20.5603448276,m.png
88,DL366e.png,-13.6725663717,23.4913793103,m.png
89,DL366e.png,-13.6283185841,23.4913793103,m.png
90,DL366e.png,39.2477876106,23.4913793103,m.png
91,DL366e.png,46.3274336283,28.8362068966,c.png
92,DL366e.png,46.3274336283,29.6551724138,c.png
93,DL366e.png,5.75221238938,25.6465517241,a.png
94,DL366e.png,5.75221238938,25.6896551724,a.png
95,DL370e.png,-11.9911504425,17.2844827586,a.png
96,DL370e.png,-11.9911504425,17.3275862069,a.png
97,DL371e.png,-13.8053097345,22.4568965517,m.png
98,DL371e.png,-12.9203539823,24.4396551724,m.png
