Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/19/15,6/19/15,0.014487556,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/20/15,6/20/15,0.01612971,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/21/15,6/21/15,0.01527846,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/22/15,6/22/15,0.016669351,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/23/15,6/23/15,0.018645061,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/24/15,6/24/15,0.016039703,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/25/15,6/25/15,0.014678922,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/26/15,6/26/15,0.014682242,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/27/15,6/27/15,0.016947774,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/28/15,6/28/15,0.019355284,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/29/15,6/29/15,0.016243801,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,6/30/15,6/30/15,0.017933525,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/1/15,7/1/15,0.017951418,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/2/15,7/2/15,0.019779023,"SMOS,Gro Intelligence"
