Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/20/15,6/20/15,0.101147469,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/21/15,6/21/15,0.092608788,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/22/15,6/22/15,0.095570634,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/23/15,6/23/15,0.094624128,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/24/15,6/24/15,0.087331985,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/25/15,6/25/15,0.086287074,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/26/15,6/26/15,0.102439223,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/27/15,6/27/15,0.143379906,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/28/15,6/28/15,0.14437955,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/29/15,6/29/15,0.129367846,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,6/30/15,6/30/15,0.125045484,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/1/15,7/1/15,0.121752098,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/2/15,7/2/15,0.116402169,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/3/15,7/3/15,0.104068564,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/4/15,7/4/15,0.092662365,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/5/15,7/5/15,0.095995818,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/6/15,7/6/15,0.095194847,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/7/15,7/7/15,0.09017338,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/8/15,7/8/15,0.091963739,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/9/15,7/9/15,0.085938051,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/10/15,7/10/15,0.093459661,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/11/15,7/11/15,0.09287625,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/12/15,7/12/15,0.086102844,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/13/15,7/13/15,0.086190566,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/14/15,7/14/15,0.084821082,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/15/15,7/15/15,0.104615781,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/16/15,7/16/15,0.104769136,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/17/15,7/17/15,0.09442256,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/18/15,7/18/15,0.101728919,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/19/15,7/19/15,0.100848035,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/20/15,7/20/15,0.099051934,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/21/15,7/21/15,0.098332643,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/22/15,7/22/15,0.107576314,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/23/15,7/23/15,0.143741658,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/24/15,7/24/15,0.149030133,"SMOS,Gro Intelligence"
