Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/19/15,6/19/15,0.145811522,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/20/15,6/20/15,0.158830335,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/21/15,6/21/15,0.146244133,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/22/15,6/22/15,0.156377687,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/23/15,6/23/15,0.156323907,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/24/15,6/24/15,0.152026132,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/25/15,6/25/15,0.157749239,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/26/15,6/26/15,0.158106671,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/27/15,6/27/15,0.19849037,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/28/15,6/28/15,0.198463459,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/29/15,6/29/15,0.158533964,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,6/30/15,6/30/15,0.162992196,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/1/15,7/1/15,0.150578162,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/2/15,7/2/15,0.19620839,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/3/15,7/3/15,0.16637525,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/4/15,7/4/15,0.165452529,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/5/15,7/5/15,0.183398005,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/6/15,7/6/15,0.181617237,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/7/15,7/7/15,0.170555835,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/8/15,7/8/15,0.168105149,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/9/15,7/9/15,0.153976518,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/10/15,7/10/15,0.180202386,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/11/15,7/11/15,0.180042257,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/12/15,7/12/15,0.225666213,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/13/15,7/13/15,0.238248202,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/14/15,7/14/15,0.196631416,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/15/15,7/15/15,0.172570063,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/16/15,7/16/15,0.172686485,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/17/15,7/17/15,0.184918254,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/18/15,7/18/15,0.196314229,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/19/15,7/19/15,0.180421374,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/20/15,7/20/15,0.244667582,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/21/15,7/21/15,0.245339861,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/22/15,7/22/15,0.255233396,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/23/15,7/23/15,0.206599339,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/24/15,7/24/15,0.167884356,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/25/15,7/25/15,0.200926992,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/26/15,7/26/15,0.199112005,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/27/15,7/27/15,0.20569947,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/28/15,7/28/15,0.239931301,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/29/15,7/29/15,0.239718064,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/30/15,7/30/15,0.203258871,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,7/31/15,7/31/15,0.208092681,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/1/15,8/1/15,0.186665303,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/2/15,8/2/15,0.204791981,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/3/15,8/3/15,0.20460777,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/4/15,8/4/15,0.209505806,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/5/15,8/5/15,0.223921051,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/6/15,8/6/15,0.182389504,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/7/15,8/7/15,0.221212149,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/8/15,8/8/15,0.22234324,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/9/15,8/9/15,0.243249582,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/10/15,8/10/15,0.257913169,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/11/15,8/11/15,0.254567808,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/12/15,8/12/15,0.241047944,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/13/15,8/13/15,0.239774944,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/14/15,8/14/15,0.227461839,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/15/15,8/15/15,0.250316462,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/16/15,8/16/15,0.250145305,"SMOS,Gro Intelligence"
